Date,8035.T_126D_ret,EEM_21D_ret,HYG_126D_ret,SAP.DE_63D_ret,^IRX_21D_ret,^IRX_63D_ret,^IRX_126D_ret,UNRATE_63D_ret,PRINTO01EZQ661S_63D_ret,GBRPROINDMISMEI_126D_ret,ratio_intl_vs_us_bonds_63D_ret,ratio_intl_vs_us_bonds_126D_ret,TARGET_CLASS
2017-04-28,0.7516066773619737,-0.014343564915175544,0.6454476018313062,0.32577205789813257,-0.16255350110823324,0.130254208134718,0.0854219019681804,-0.3492387026258449,-0.12668045072972828,0.32765584973658307,-0.015777246157997856,0.35577912135412176,0.0
2017-05-02,1.2814029631828987,0.21934782981270962,0.7612096961092292,0.4028783615456702,0.09245341794769525,0.2286163397701245,0.037030070010409116,-0.3492387026258449,-0.12668045072972828,0.32765584973658307,0.019786957239308085,0.340111239219508,-1.0
2017-05-03,1.342213930789837,0.18991686714165715,0.8925296655914934,0.424997623954419,0.09761799919084749,0.22356012225125899,0.040526414590168224,-0.3492387026258449,-0.034427353550179986,0.32765584973658307,-0.11340196681091298,0.24582584434782598,0.0
2017-05-04,1.342213930789837,0.10283006545922357,0.7558084322986056,0.548534472452977,0.19203678225293033,0.233629021035136,0.023710740428436815,-0.3492387026258449,-0.034427353550179986,0.32765584973658307,-0.08259460070124967,0.21741450229238976,0.0
2017-05-05,1.3793730178005756,0.15902371892601158,0.7861143641945993,0.47318516663914645,0.22628166065355482,0.28303000263188755,0.03247111014825484,-0.3492387026258449,-0.034427353550179986,0.32765584973658307,-0.03867827808312486,0.3218751559469444,0.0
2017-05-08,1.4807729756699552,0.14318215398802517,0.4767608150101855,0.500305015326995,0.08967414754855696,0.28597761014782463,-0.014285534877721311,-0.3492387026258449,-0.034427353550179986,0.32765584973658307,-0.06106748082902723,0.30584425461297066,0.0
2017-05-09,1.3510140486076438,0.4746018234230159,0.5134577745207064,0.6653155813324803,0.15049824206167994,0.27633791707560745,-0.04123816579344696,-0.3492387026258449,-0.034427353550179986,0.32765584973658307,-0.05234249957040854,0.24901339842405576,0.0
2017-05-10,1.6156986249677232,0.6544145953826872,0.7882674212441806,0.5846981645252216,0.0778643122186341,0.20246353844405368,-0.047449404249819714,-0.3492387026258449,-0.034427353550179986,0.32765584973658307,0.1684374749711236,-0.1860376584736529,0.0
2017-05-11,1.3766540464065793,0.7400882392280003,1.1153203485110537,0.5439179876963789,0.0002672211100627573,0.18191486946517485,-0.09945574356441536,-0.3492387026258449,-0.034427353550179986,0.32765584973658307,0.28765065778038174,-0.2782915134138975,0.0
2017-05-12,1.3575975015349377,0.9181749409856248,1.3407619977732799,0.575709009068378,0.017657722464228472,0.1684102934074536,-0.1020894528756517,-0.3492387026258449,-0.034427353550179986,0.32765584973658307,0.1392031820691079,-0.2687917760158355,1.0
2017-05-15,1.2023588631754598,1.1908756883174552,1.2131287492065306,0.5337673098492218,0.0027714210324380046,0.19054546933964644,-0.13854362008719004,-0.3492387026258449,-0.034427353550179986,0.32765584973658307,0.28493127616805697,-0.11442612983865925,0.0
2017-05-16,1.3616572881952673,1.1053150477104945,0.92591701203646,0.42414877352569996,0.10612648493163475,0.22767456485228713,-0.11247320349466527,-0.3492387026258449,-0.034427353550179986,0.32765584973658307,0.3238614382993779,-0.07482165309331196,0.0
2017-05-17,1.4785602454298634,0.8247284044583545,0.9154369749140904,0.4072239529522826,0.07119574176159789,0.18005831521055735,-0.08646742887299676,-0.3492387026258449,-0.034427353550179986,0.32765584973658307,0.20282291018786433,0.10236352459670157,1.0
2017-05-18,1.4130645092273169,0.5137613870563464,1.0100488146546949,0.4016788868993173,0.07528024268610306,0.23888477016739798,-0.03951495365081231,-0.3492387026258449,-0.034427353550179986,0.32765584973658307,0.06838223632302633,-0.021745143790777,1.0
2017-05-19,1.3745888999117462,1.1053900794886515,1.05479573813312,0.4579350837352369,0.1272144915226644,0.26098137634042223,-0.039946469479007846,-0.3492387026258449,-0.034427353550179986,0.32765584973658307,0.04822557844236415,0.04339665975167033,0.0
2017-05-22,1.3942580918657161,0.8579642985260207,0.9331167665021836,0.45268774330630934,0.14868149265503366,0.24682382991036966,-0.048130945890165804,-0.3492387026258449,-0.034427353550179986,0.32765584973658307,0.3154530548441931,0.07408829814965448,0.0
2017-05-23,1.2919992407223302,0.87905812304248,0.7504883018548116,0.4944935968172718,0.2823103364945662,0.29637524241555324,-0.08875012452151726,-0.3492387026258449,-0.034427353550179986,0.32765584973658307,0.3780242672145837,0.09624700008640184,0.0
2017-05-24,1.4119902304321141,0.6565980305502936,0.8829700633009383,0.41121285148488823,0.23186034226971144,0.29266066521653866,-0.10229040855848909,-0.3492387026258449,-0.034427353550179986,0.32765584973658307,0.3401772477198447,0.0814832728019102,0.0
2017-05-25,1.4573041312581585,0.5722745161877878,0.8636308579029213,0.3433015217100519,0.1095471580055457,0.2842553323195287,-0.10079814246372008,-0.3492387026258449,-0.034427353550179986,0.32765584973658307,0.32867524944915616,0.09145600521723592,0.0
2017-05-26,1.4187382664406036,0.7302428273080289,0.8460344789139512,0.32052686164024974,0.1320541681046208,0.31799832253752297,-0.09508815130341919,-0.3492387026258449,-0.034427353550179986,0.32765584973658307,0.21578941444036553,0.037336677584120445,0.0
2017-05-29,1.3980604643699508,0.7572513723024604,0.8488981026009069,0.45740681695361046,0.1936949428206691,0.31799832253752297,-0.06459708039462653,-0.3492387026258449,-0.034427353550179986,0.32765584973658307,0.39550279913137326,0.07185071876692922,0.0
2017-05-30,1.263123266641562,0.6110022779517651,0.9051946953133757,0.4672388523568926,0.21132251784490308,0.3394547474562602,-0.08336082234276061,-0.3492387026258449,-0.034427353550179986,0.32765584973658307,0.2643647830874238,0.07175207428060577,0.0
2017-05-31,1.2131555484276013,0.17220048174299316,0.8909905477498065,0.47950424243756085,0.1170557095185169,0.31018363866968934,-0.06274135414843433,-0.3492387026258449,-0.034427353550179986,0.6040634060061898,0.2868987535469363,-0.03014508894102073,0.0
2017-06-01,1.4376306862887014,0.49317855101389624,1.0777775340977198,0.3300458887378838,0.0956991397496637,0.11241679486430084,-0.053102415731847,-0.3492387026258449,-0.034427353550179986,0.08414559258560998,0.11519736240317598,-0.2065219884794609,0.0
2017-06-02,1.6893668140160085,0.8436287228188601,0.9442168462551337,0.39346650906108055,0.08785994854513132,0.06642802749829771,-0.04715892188651449,-0.3492387026258449,-0.034427353550179986,0.08414559258560998,0.05067149066764591,-0.27978960172464007,0.0
2017-06-05,1.8371991702803725,0.6395100092003116,0.859027881534051,0.40895018246094184,0.03459607059890051,0.0020410452819248923,-0.04759081216995491,-0.25848233138971943,-0.034427353550179986,0.08414559258560998,0.025379545231950833,-0.2563202422584613,-1.0
2017-06-06,1.8420495323407904,0.6551711341892349,0.6982348585150191,0.40135180039784163,0.05590614304989139,-0.018908520597751804,-0.07592720889215468,-0.25848233138971943,-0.034427353550179986,0.08414559258560998,-0.03488105294350698,-0.22824853553460125,0.0
2017-06-07,1.8748599071406837,0.35985483671244056,0.5281182785440968,0.3448381497565453,0.03718759321473757,-0.04412079602950301,-0.07144126651640621,-0.25848233138971943,-0.034427353550179986,0.08414559258560998,0.00013652985190662522,-0.1789017938109565,0.0
2017-06-08,1.7701211008851763,0.3464060086451225,0.5500556758443709,0.35873270809177454,0.08164522101262969,-0.00781229764837022,-0.07340458849015087,-0.25848233138971943,-0.034427353550179986,0.08414559258560998,0.053794294301462375,-0.11819137093047538,0.0
2017-06-09,1.770598067889308,0.13827338448197404,0.5580417074974139,0.37868879411152595,0.1469619061256637,-0.007682612116416783,-0.09779445693292307,-0.25848233138971943,-0.034427353550179986,0.08414559258560998,-0.12569081975577093,-0.18215523221467103,0.0
2017-06-12,1.6763863600468247,-0.05903509030619694,0.6326964411951097,0.11350479932541781,0.1433485928979765,-0.030988544629790785,-0.082985571276105,-0.25848233138971943,-0.034427353550179986,0.08414559258560998,-0.0782639017059431,-0.14720404254628586,0.0
2017-06-13,1.5995990801410105,-0.16942417121881456,0.6176481417803169,0.19421331525302174,0.14581129560085163,-0.02508688675582494,-0.09901865200392511,-0.25848233138971943,-0.034427353550179986,0.08414559258560998,-0.1526796257612964,-0.12729558398782578,0.0
2017-06-14,1.4699090846809961,-0.19427769798671293,0.8036205894811717,0.23471644241709327,0.06384084756451319,-0.05732873394008088,-0.09901865200392511,-0.25848233138971943,-0.034427353550179986,0.08414559258560998,-0.2538898934047964,-0.2719911737082694,0.0
2017-06-15,1.3442213735889492,-0.05345735478571494,0.698677333909691,0.11101521411600258,0.13586555470410935,0.002628701540789066,-0.06155406272710728,-0.25848233138971943,-0.034427353550179986,0.08414559258560998,-0.40980162974516404,-0.18762632004895516,0.0
2017-06-16,1.1368263031038905,0.3339778944374441,0.63486337091272,0.12732407101355786,0.060351773699109254,0.004377626430192885,-0.06249690298460193,-0.25848233138971943,-0.034427353550179986,0.08414559258560998,-0.5512583290323138,-0.2632748293218612,0.0
2017-06-19,1.2124912450169925,0.09728893898853733,0.6470810841003584,0.1934251014760412,0.07508446371158972,0.004377626430192885,-0.05532176631283108,-0.25848233138971943,-0.034427353550179986,0.08414559258560998,-0.5292804355103409,-0.19885004246147536,0.0
2017-06-20,1.2078543547617946,-0.1546607497404673,0.5284742656767882,0.12843783514695975,0.1266671692176929,0.00966277013911519,-0.08547707578786107,-0.25848233138971943,-0.034427353550179986,0.08414559258560998,-0.6139799826904596,-0.3438319040727669,0.0
2017-06-21,1.1557066594001006,-0.12929058583907443,0.3472095431233909,0.2347819435849144,-0.04113450765290037,-0.07165549413052667,-0.08818369146842835,-0.25848233138971943,-0.034427353550179986,0.08414559258560998,-0.5010285997514887,-0.34548608781489293,0.0
2017-06-22,1.1244575507353889,-0.10382983526803537,0.3611700871547041,0.28426504289802745,-0.11064225486558324,-0.09912788680279472,-0.09589354498759707,-0.25848233138971943,-0.034427353550179986,0.08414559258560998,-0.5439760232330413,-0.35750544544640933,0.0
2017-06-23,1.0747327805882958,-0.09354731983566704,0.4149434780975306,0.23498095060476767,-0.11872227040639886,-0.09912788680279472,-0.1022853932896876,-0.25848233138971943,-0.034427353550179986,0.08414559258560998,-0.5317177613701205,-0.36806208203104246,0.0
2017-06-26,1.0720374734813747,0.03135704581783706,0.46984297065239844,0.22773567468055875,-0.1240794032007718,-0.09912788680279472,-0.09773823816135883,-0.25848233138971943,-0.034427353550179986,0.08414559258560998,-0.5785724873313435,-0.4578605420441472,0.0
2017-06-27,0.9726806540400058,-0.21313846127786143,0.4268501150264541,0.23991549084950511,0.02450525403081395,-0.05688012216924496,-0.06995817416153476,-0.25848233138971943,-0.034427353550179986,0.08414559258560998,-0.3673928991919105,-0.185668364068726,0.0
2017-06-28,0.8883202824061495,0.05685647164825835,0.4916412665845923,0.05114231995266964,0.011471520345992218,-0.07975974832916569,-0.012387616686331558,-0.25848233138971943,-0.034427353550179986,0.08414559258560998,-0.26862747967663175,-0.12224457463700411,1.0
2017-06-29,0.8175744724495354,-0.04847726562462666,0.42334453794633775,-0.22300098150564876,-0.051694010541029865,-0.04076400241875037,-0.0483463518793,-0.25848233138971943,-0.034427353550179986,0.08414559258560998,0.030179193742933676,0.003797038241875941,1.0
2017-06-30,0.7730484811765074,-0.1286807851971503,0.48056763940630975,-0.20006708957374836,-0.07143307869941563,-0.05403370478414036,-0.053372377264972674,-0.25848233138971943,-0.034427353550179986,0.08414559258560998,-0.0027614398579042785,-0.00019360990180939308,1.0
2017-07-03,0.7603268980900291,-0.11331117731935121,0.36908043847867317,-0.2752879507552135,-0.06704550606397276,-0.021678672932365237,-0.04456364092078946,-0.06459372011254409,-0.034427353550179986,0.08414559258560998,0.0034589313596982466,0.22069095242479267,1.0
2017-07-04,0.563997119299108,-0.0884235159919168,0.2401488597153647,-0.3085911497212854,-0.053917190740338516,-0.024312585832098756,-0.0867244507981883,-0.06459372011254409,-0.034427353550179986,0.08414559258560998,0.12662264600061227,0.18829584824430995,1.0
2017-07-05,0.7877763961983848,-0.13830807216366553,0.256667609130685,-0.3160333317611906,-0.030514035589107022,-0.05571231817849667,-0.06805860808617818,-0.06459372011254409,-0.034427353550179986,0.08414559258560998,0.030371231565905186,0.2186083985186246,1.0
2017-07-06,0.7763844626248019,-0.3632777695036338,0.20239254502713297,-0.346521377064796,-0.09870573155434664,-0.06677696401002899,-0.06899894994997693,-0.06459372011254409,-0.034427353550179986,0.08414559258560998,0.15559506635651446,0.33064185274109015,1.0
2017-07-07,0.8373363220303972,-0.4458381245582831,0.18614341587171213,-0.299457969534469,-0.09870573155434664,-0.07621285127870014,-0.05105627532058929,-0.06459372011254409,-0.034427353550179986,0.08414559258560998,0.2537900444072236,0.41894997886695823,1.0
2017-07-10,0.8709957500106551,-0.09352294908454184,0.21055424503071604,-0.24740003812451014,-0.10415641397438384,-0.08323533947104042,-0.06660086083360513,-0.06459372011254409,-0.034427353550179986,0.08414559258560998,0.23687343913392314,0.43291595788489257,1.0
