Date,7203.T,8035.T,9984.T,AAPL,AZN.L,BAS.DE,BRK-B,BTC-USD,CL=F,DX-Y.NYB,EEM,GC=F,HG=F,HYG,JPM,LE=F,LQD,MSFT,NVDA,RIO.L,SAP.DE,SHEL.L,SIE.DE,SPY,TLT,VNQ,XBI,XLE,XLF,XLK,XLP,XLU,XLV,XLY,ZC=F,ZW=F,^GDAXI,^IRX,^N225,^TNX,^VIX
2016-05-23,814.08203125,1977.80029296875,720.7025146484375,21.952255249023438,3889.39501953125,39.46981430053711,141.47999572753906,444.1549987792969,48.08000183105469,95.2300033569336,25.75441551208496,1251.0999755859375,2.057499885559082,49.01682662963867,48.63685989379883,118.1500015258789,83.78607177734375,44.3287467956543,1.086917519569397,1929.814697265625,59.7581901550293,1650.9583740234375,62.15407180786133,174.3442840576172,98.87907409667969,55.18334197998047,54.03509521484375,21.9947509765625,15.626419067382812,19.12621307373047,39.95530700683594,17.407983779907227,58.734371185302734,34.83769989013672,397.75,462.0,9842.2900390625,0.31299999356269836,16654.599609375,1.8380000591278076,15.819999694824219
2016-05-24,802.6971435546875,1941.2762451171875,712.2389526367188,22.286903381347656,3947.230224609375,40.57353591918945,143.7100067138672,445.9809875488281,48.619998931884766,95.56999969482422,26.018770217895508,1228.9000244140625,2.069499969482422,49.31155014038086,49.464576721191406,118.0,83.64517211914062,45.710975646972656,1.1133019924163818,1948.6763916015625,61.111854553222656,1646.977783203125,63.22454071044922,176.60418701171875,98.43938446044922,55.869346618652344,55.08995819091797,22.104736328125,15.86226749420166,19.48496437072754,40.29203796386719,17.582571029663086,59.58054733276367,35.25613021850586,397.5,464.0,10057.3095703125,0.34299999475479126,16498.759765625,1.8589999675750732,14.420000076293945
2016-05-25,821.3267211914062,1996.3128662109375,729.5187377929688,22.678457260131836,4003.070556640625,40.95513916015625,144.0800018310547,449.5989990234375,49.560001373291016,95.3499984741211,26.3311824798584,1223.5,2.1050000190734863,49.3881721496582,50.21565628051758,118.1500015258789,83.79310607910156,46.180580139160156,1.1086387634277344,1968.0341796875,61.77154541015625,1676.8323974609375,64.57428741455078,177.80209350585938,98.06798553466797,55.869346618652344,55.987098693847656,22.4547119140625,16.030719757080078,19.619497299194336,40.353267669677734,17.53165054321289,59.9528923034668,35.44960021972656,404.75,466.0,10205.2099609375,0.3149999976158142,16757.349609375,1.8700000047683716,13.899999618530273
2016-05-26,827.3887329101562,1966.54296875,702.3646240234375,22.858304977416992,4000.078857421875,41.12540054321289,143.0500030517578,453.3840026855469,49.47999954223633,95.16999816894531,26.507417678833008,1220.0999755859375,2.1064999103546143,49.246726989746094,49.840126037597656,118.92500305175781,84.03266906738281,45.976783752441406,1.1204196214675903,1954.632568359375,62.217063903808594,1674.3443603515625,64.95992279052734,177.85305786132812,98.57585906982422,55.97698211669922,55.42515182495117,22.36137580871582,15.936382293701172,19.682275772094727,40.51396942138672,17.731698989868164,59.96134948730469,35.521575927734375,408.25,481.25,10272.7099609375,0.2750000059604645,16772.4609375,1.8229999542236328,13.430000305175781
2016-05-27,826.3538208007812,1992.81005859375,711.5336303710938,22.84463882446289,4011.048095703125,41.049076080322266,143.35000610351562,473.4639892578125,49.33000183105469,95.5199966430664,26.49941062927246,1213.800048828125,2.114000082015991,49.32923126220703,50.146690368652344,119.69999694824219,83.96925354003906,46.3577880859375,1.1265555620193481,1949.6690673828125,62.345558166503906,1666.880615234375,65.61814880371094,178.6177215576172,98.4318618774414,56.27959060668945,56.03639221191406,22.37471580505371,16.044198989868164,19.77644920349121,40.55987548828125,17.76079750061035,60.232139587402344,35.688053131103516,412.75,481.5,10286.3095703125,0.2980000078678131,16834.83984375,1.8509999513626099,13.119999885559082
2016-05-31,855.0374145507812,2056.852783203125,732.1049194335938,22.733089447021484,4016.53271484375,40.76140594482422,140.5399932861328,531.385986328125,49.099998474121094,95.88999938964844,26.53145408630371,1214.800048828125,2.0975000858306885,49.2820930480957,50.024070739746094,121.0999984741211,84.11722564697266,46.96029281616211,1.146681308746338,1928.32568359375,62.508358001708984,1649.465576171875,64.35487365722656,178.2778778076172,98.66681671142578,56.27289581298828,57.22928237915039,22.288057327270508,16.003768920898438,19.816816329956055,40.299686431884766,17.877195358276367,60.3759765625,35.652061462402344,404.75,464.5,10262.740234375,0.28299999237060547,17234.98046875,1.8339999914169312,14.1899995803833
2016-06-01,850.8974609375,2038.5902099609375,734.9261474609375,22.414379119873047,4004.067626953125,40.83185577392578,141.99000549316406,536.9199829101562,49.0099983215332,95.45999908447266,26.515426635742188,1211.9000244140625,2.072499990463257,49.360252380371094,50.3459587097168,121.42500305175781,84.17656707763672,46.827388763427734,1.1488903760910034,1854.369384765625,62.217063903808594,1657.9246826171875,64.481201171875,178.6431884765625,99.06713104248047,56.31995391845703,57.34758377075195,22.294719696044922,16.037460327148438,19.767484664916992,40.71294403076172,17.924474716186523,60.595977783203125,35.62956619262695,413.75,473.75,10204.4404296875,0.29499998688697815,16955.73046875,1.8459999561309814,14.199999809265137
2016-06-02,838.1820678710938,1977.2996826171875,710.1229858398438,22.245925903320312,4030.4931640625,40.825984954833984,142.11000061035156,537.9719848632812,49.16999816894531,95.55999755859375,26.73171615600586,1209.800048828125,2.069499969482422,49.372108459472656,50.43793487548828,121.7249984741211,84.34612274169922,46.49955368041992,1.1569901704788208,1851.8876953125,61.82295608520508,1652.9483642578125,64.12879943847656,179.18690490722656,99.78113555908203,56.60914993286133,58.993980407714844,22.264726638793945,16.071151733398438,19.749549865722656,40.728233337402344,17.931753158569336,61.37451171875,35.82752227783203,415.25,485.5,10208.0,0.27000001072883606,16562.55078125,1.8109999895095825,13.630000114440918
2016-06-03,839.0691528320312,1973.5479736328125,707.6543579101562,22.29144859313965,4027.50146484375,40.12734603881836,141.13999938964844,569.1939697265625,48.619998931884766,94.02999877929688,27.140268325805664,1240.0999755859375,2.111999988555908,49.460960388183594,49.541229248046875,122.0,85.0243911743164,45.88818359375,1.1407904624938965,1881.1724853515625,61.30889892578125,1667.876220703125,63.35751724243164,178.6516876220703,101.20159149169922,56.83782958984375,57.2785758972168,22.178068161010742,15.842041969299316,19.704700469970703,40.988441467285156,18.2154598236084,61.1713981628418,35.593570709228516,418.25,497.25,10103.259765625,0.27000001072883606,16642.23046875,1.7039999961853027,13.470000267028809
2016-06-06,837.88623046875,1988.5576171875,716.2357177734375,22.45307731628418,4055.91943359375,40.40915298461914,141.82000732421875,585.5369873046875,49.689998626708984,93.9000015258789,27.428653717041016,1244.5999755859375,2.117000102996826,49.680091857910156,50.03173065185547,120.7750015258789,84.81949615478516,46.1894416809082,1.1349003314971924,2000.7933349609375,61.2318000793457,1692.7547607421875,63.6434326171875,179.5607452392578,100.4496078491211,56.400665283203125,58.82638168334961,22.668025970458984,15.936382293701172,19.740575790405273,41.03434371948242,18.18999671936035,61.50141906738281,35.68355178833008,427.25,507.5,10121.080078125,0.25,16580.029296875,1.7230000495910645,13.649999618530273
2016-06-07,835.9641723632812,1981.3026123046875,715.883056640625,22.544143676757812,4042.458740234375,41.501129150390625,141.41000366210938,576.5969848632812,50.36000061035156,93.83000183105469,27.676986694335938,1244.4000244140625,2.0510001182556152,49.899234771728516,49.86311721801758,121.2249984741211,84.94669342041016,46.16285705566406,1.1371092796325684,1999.30419921875,62.002864837646484,1747.4881591796875,64.73385620117188,179.8411407470703,100.69267272949219,56.74366760253906,57.791229248046875,23.181312561035156,15.902685165405273,19.821290969848633,40.988441467285156,18.175447463989258,61.12063980102539,35.728538513183594,427.75,509.0,10287.6796875,0.26499998569488525,16675.44921875,1.7130000591278076,14.050000190734863
2016-06-08,839.9561767578125,2014.8248291015625,722.9359741210938,22.52365493774414,4021.01953125,41.22520065307617,142.52999877929688,581.64501953125,51.22999954223633,93.58999633789062,27.877254486083984,1259.800048828125,2.0625,50.088768005371094,50.00873565673828,123.0250015258789,85.22930908203125,46.10969924926758,1.1334279775619507,2025.1143798828125,61.4288444519043,1791.2744140625,64.03572082519531,180.42726135253906,101.23201751708984,57.10685348510742,57.860233306884766,23.127981185913086,15.916171073913574,19.861658096313477,41.23333740234375,18.284568786621094,61.33218002319336,35.769046783447266,431.25,519.5,10217.0302734375,0.23499999940395355,16830.919921875,1.7059999704360962,14.079999923706055
2016-06-09,828.4236450195312,1998.56396484375,717.528564453125,22.685287475585938,3941.746337890625,40.83185577392578,142.22999572753906,574.6300048828125,50.560001373291016,94.0999984741211,27.556821823120117,1270.199951171875,2.0399999618530273,49.89329528808594,49.62553787231445,123.19999694824219,85.34940338134766,45.737548828125,1.1628797054290771,1953.1435546875,61.111854553222656,1775.8499755859375,63.576934814453125,180.18092346191406,101.88526153564453,57.23464584350586,56.164554595947266,22.95133399963379,15.801615715026855,19.866132736206055,41.394039154052734,18.440967559814453,61.23065948486328,35.688053131103516,426.5,510.25,10088.8701171875,0.23999999463558197,16668.41015625,1.6799999475479126,14.640000343322754
2016-06-10,831.9721069335938,2041.092041015625,704.8331298828125,22.498619079589844,3841.03369140625,39.786842346191406,141.75999450683594,577.469970703125,49.06999969482422,94.5999984741211,26.85988998413086,1273.4000244140625,2.0315001010894775,49.65045166015625,48.9281005859375,122.44999694824219,85.44835662841797,45.61351013183594,1.1339185237884521,1927.829345703125,59.68109130859375,1771.3717041015625,61.95460891723633,178.47329711914062,102.37896728515625,56.96562576293945,54.882938385009766,22.4547119140625,15.606195449829102,19.71366310119629,41.42464828491211,18.393688201904297,60.739845275878906,35.31461715698242,423.0,495.0,9834.6201171875,0.23999999463558197,16601.359375,1.6390000581741333,17.030000686645508
