Date,7203.T,8035.T,9984.T,AAPL,AZN.L,BAS.DE,BRK-B,CL=F,DX-Y.NYB,EEM,GC=F,HG=F,JPM,MSFT,NVDA,RIO.L,SAP.DE,SHEL.L,SIE.DE,SPY,XBI,XLE,XLF,XLK,^GDAXI,^IRX,^N225,^TNX,^VIX
2016-05-23,814.0819702148438,1977.80029296875,720.7025756835938,21.952259063720703,3889.3955078125,39.469810485839844,141.47999572753906,48.08000183105469,95.2300033569336,25.75442123413086,1251.0999755859375,2.057499885559082,48.63685607910156,44.3287467956543,1.0869172811508179,1929.8150634765625,59.75819396972656,1651.15673828125,62.15407943725586,174.3442840576172,54.035099029541016,21.994749069213867,15.626415252685547,19.126209259033203,9842.2900390625,0.31299999356269836,16654.599609375,1.8380000591278076,15.819999694824219
2016-05-24,802.697265625,1941.2763671875,712.2388916015625,22.28690528869629,3947.230224609375,40.57352828979492,143.7100067138672,48.619998931884766,95.56999969482422,26.018766403198242,1228.9000244140625,2.069499969482422,49.4645881652832,45.710968017578125,1.1133019924163818,1948.6767578125,61.111846923828125,1647.1759033203125,63.224552154541016,176.6042022705078,55.08995819091797,22.104738235473633,15.862266540527344,19.48496437072754,10057.3095703125,0.34299999475479126,16498.759765625,1.8589999675750732,14.420000076293945
2016-05-25,821.3265991210938,1996.31201171875,729.5188598632812,22.6784610748291,4003.071044921875,40.955142974853516,144.0800018310547,49.560001373291016,95.3499984741211,26.3311824798584,1223.5,2.1050000190734863,50.21567153930664,46.180572509765625,1.1086384057998657,1968.0340576171875,61.77154541015625,1677.0333251953125,64.57427978515625,177.8020477294922,55.987098693847656,22.454713821411133,16.030723571777344,19.619497299194336,10205.2099609375,0.3149999976158142,16757.349609375,1.8700000047683716,13.899999618530273
2016-05-26,827.388671875,1966.5430908203125,702.3646240234375,22.858301162719727,4000.07958984375,41.125396728515625,143.0500030517578,49.47999954223633,95.16999816894531,26.507423400878906,1220.0999755859375,2.1064999103546143,49.84014892578125,45.9767951965332,1.1204197406768799,1954.6324462890625,62.21705627441406,1674.5455322265625,64.95991516113281,177.85305786132812,55.4251708984375,22.36138153076172,15.936386108398438,19.682275772094727,10272.7099609375,0.2750000059604645,16772.4609375,1.8229999542236328,13.430000305175781
2016-05-27,826.3536987304688,1992.8096923828125,711.53369140625,22.844642639160156,4011.0478515625,41.049072265625,143.35000610351562,49.33000183105469,95.5199966430664,26.49941635131836,1213.800048828125,2.114000082015991,50.146705627441406,46.35779571533203,1.1265556812286377,1949.6690673828125,62.345577239990234,1667.081298828125,65.6181640625,178.61773681640625,56.03640365600586,22.374717712402344,16.04419708251953,19.776451110839844,10286.3095703125,0.2980000078678131,16834.83984375,1.8509999513626099,13.119999885559082
2016-05-30,839.956298828125,2043.0933837890625,725.8746948242188,22.844642639160156,4011.0478515625,41.143009185791016,143.35000610351562,49.33000183105469,95.5199966430664,26.49941635131836,1213.800048828125,2.114000082015991,50.146705627441406,46.35779571533203,1.1265556812286377,1949.6690673828125,62.482643127441406,1667.081298828125,65.39210510253906,178.61773681640625,56.03640365600586,22.374717712402344,16.04419708251953,19.776451110839844,10333.23046875,0.2980000078678131,17068.01953125,1.8509999513626099,13.119999885559082
2016-05-31,855.0374145507812,2056.852783203125,732.1049194335938,22.73309898376465,4016.53173828125,40.76140213012695,140.5399932861328,49.099998474121094,95.88999938964844,26.531450271606445,1214.800048828125,2.0975000858306885,50.02408218383789,46.960304260253906,1.1466811895370483,1928.325927734375,62.50834655761719,1649.6639404296875,64.35486602783203,178.27786254882812,57.22928237915039,22.288055419921875,16.00376319885254,19.81680679321289,10262.740234375,0.28299999237060547,17234.98046875,1.8339999914169312,14.1899995803833
2016-06-01,850.8975219726562,2038.59033203125,734.9261474609375,22.41438102722168,4004.06787109375,40.831851959228516,141.99000549316406,49.0099983215332,95.45999908447266,26.515426635742188,1211.9000244140625,2.072499990463257,50.3459587097168,46.82740020751953,1.1488903760910034,1854.3692626953125,62.21705627441406,1658.1236572265625,64.48119354248047,178.64317321777344,57.34757995605469,22.294721603393555,16.037464141845703,19.767478942871094,10204.4404296875,0.29499998688697815,16955.73046875,1.8459999561309814,14.199999809265137
2016-06-02,838.18212890625,1977.3004150390625,710.123046875,22.245925903320312,4030.49267578125,40.825984954833984,142.11000061035156,49.16999816894531,95.55999755859375,26.73171615600586,1209.800048828125,2.069499969482422,50.43793869018555,46.499534606933594,1.156989574432373,1851.887939453125,61.82295608520508,1653.147216796875,64.12881469726562,179.1869354248047,58.993980407714844,22.264728546142578,16.071147918701172,19.74953842163086,10208.0,0.27000001072883606,16562.55078125,1.8109999895095825,13.630000114440918
2016-06-03,839.0690307617188,1973.5477294921875,707.6544799804688,22.29146385192871,4027.501953125,40.12734603881836,141.13999938964844,48.619998931884766,94.02999877929688,27.14026641845703,1240.0999755859375,2.111999988555908,49.54122543334961,45.88818359375,1.140790581703186,1881.17236328125,61.30890655517578,1668.076171875,63.35752868652344,178.6516571044922,57.2785758972168,22.178062438964844,15.842045783996582,19.70470428466797,10103.259765625,0.27000001072883606,16642.23046875,1.7039999961853027,13.470000267028809
