Date,4063.T,6758.T,6861.T,7203.T,8035.T,8058.T,8306.T,9432.T,9983.T,9984.T,AAPL,AIR.DE,ALV.DE,AMZN,AZN.L,BAS.DE,BATS.L,BMW.DE,BP.L,BRK-B,DGE.L,DTE.DE,GOOGL,GSK.L,HSBA.L,JPM,LLY,MBG.DE,META,MSFT,MUV2.DE,NVDA,REL.L,RIO.L,SAP.DE,SHEL.L,SIE.DE,SPY,ULVR.L,V,VOW3.DE
2016-05-23,1032.8447265625,545.5478515625,16241.087890625,814.0819091796875,1977.800537109375,432.9263610839844,370.110595703125,68.9604721069336,8523.7958984375,720.7025146484375,21.952255249023438,47.5948371887207,85.30166625976562,34.837501525878906,3889.395263671875,39.46981430053711,4089.22265625,41.449951171875,355.4687194824219,141.47999572753906,1830.6678466796875,10.607802391052246,35.56852722167969,1440.7777099609375,424.9949951171875,48.63685607910156,63.03654861450195,25.164772033691406,115.0670166015625,44.32874298095703,105.90849304199219,1.086917519569397,1230.241455078125,1929.81494140625,59.7581901550293,1651.156494140625,62.154075622558594,174.34426879882812,3272.17626953125,71.95729064941406,74.16873931884766
2016-05-24,1032.6798095703125,542.1657104492188,16128.697265625,802.697265625,1941.2762451171875,430.2802734375,364.1689147949219,68.87381744384766,8432.3544921875,712.2388916015625,22.286897659301758,49.03525161743164,87.9034652709961,35.209999084472656,3947.230224609375,40.57353591918945,4143.3662109375,42.22252655029297,355.7669372558594,143.7100067138672,1853.1085205078125,10.778519630432129,36.35106658935547,1447.2900390625,431.9579772949219,49.46458053588867,63.810890197753906,25.7174129486084,116.78353881835938,45.710975646972656,108.87791442871094,1.1133018732070923,1245.2078857421875,1948.676513671875,61.11185073852539,1647.17529296875,63.22455978393555,176.6042022705078,3318.00048828125,73.97966766357422,77.11698150634766
2016-05-25,1045.7203369140625,577.207763671875,16243.4775390625,821.3267822265625,1996.312744140625,435.80255126953125,370.3870544433594,71.02566528320312,8760.0166015625,729.518798828125,22.67845344543457,48.99160385131836,89.94771575927734,35.41749954223633,4003.070556640625,40.95514678955078,4154.79443359375,43.22922134399414,363.9204406738281,144.0800018310547,1858.0953369140625,10.999445915222168,36.60247802734375,1456.80859375,444.04388427734375,50.21567153930664,63.427982330322266,26.57509994506836,116.9720687866211,46.18056869506836,110.09866333007812,1.1086382865905762,1240.2191162109375,1968.033935546875,61.771541595458984,1677.0335693359375,64.57427978515625,177.80210876464844,3311.07373046875,73.68141174316406,77.63726043701172
2016-05-26,1042.2540283203125,577.207763671875,16123.9208984375,827.3886108398438,1966.5428466796875,437.7584228515625,369.6960754394531,69.46593475341797,8961.1865234375,702.3646240234375,22.858304977416992,48.89557647705078,90.87693786621094,35.74549865722656,4000.079833984375,41.125396728515625,4157.77392578125,44.159820556640625,362.3791198730469,143.0500030517578,1862.0843505859375,11.058319091796875,36.54446029663086,1459.8138427734375,443.5961608886719,49.84012985229492,64.26189422607422,26.919940948486328,118.53975677490234,45.97679138183594,111.48435974121094,1.1204197406768799,1238.2235107421875,1954.63232421875,62.21704864501953,1674.5455322265625,64.95993041992188,177.8530731201172,3332.920166015625,73.62549591064453,78.21534729003906
2016-05-27,1038.787353515625,578.3351440429688,16556.724609375,826.353759765625,1992.809814453125,441.6700439453125,374.9468994140625,69.53814697265625,8839.2666015625,711.5336303710938,22.844640731811523,48.96541976928711,90.90790557861328,35.61199951171875,4011.04833984375,41.049068450927734,4178.14013671875,43.99009323120117,359.8933410644531,143.35000610351562,1878.0428466796875,11.009835243225098,37.07358932495117,1455.305419921875,446.0831604003906,50.14669418334961,63.810890197753906,26.827104568481445,118.4504623413086,46.35778045654297,111.81430053710938,1.1265559196472168,1247.20361328125,1949.6690673828125,62.3455696105957,1667.0809326171875,65.61815643310547,178.6177215576172,3359.56201171875,74.24063873291016,78.41767120361328
2016-05-30,1048.1964111328125,579.0867919921875,16578.248046875,839.956298828125,2043.093505859375,445.58172607421875,377.22686767578125,69.98583984375,8956.61328125,725.8748779296875,22.844640731811523,49.157474517822266,91.0627670288086,35.61199951171875,4011.04833984375,41.143009185791016,4178.14013671875,44.34126281738281,359.8933410644531,143.35000610351562,1878.0428466796875,11.082563400268555,37.07358932495117,1455.305419921875,446.0831604003906,50.14669418334961,63.810890197753906,27.233840942382812,118.4504623413086,46.35778045654297,111.9792709350586,1.1265559196472168,1247.20361328125,1949.6690673828125,62.482635498046875,1667.0809326171875,65.39209747314453,178.6177215576172,3359.56201171875,74.24063873291016,79.74727630615234
2016-05-31,1067.674560546875,582.4686889648438,16834.111328125,855.0372314453125,2056.8525390625,452.5997009277344,382.61578369140625,70.1158218383789,9109.013671875,732.1050415039062,22.733089447021484,49.174930572509766,90.87693786621094,36.13949966430664,4016.531982421875,40.76139831542969,4170.6875,44.41735076904297,355.22003173828125,140.5399932861328,1865.57568359375,10.992517471313477,37.135581970214844,1447.79150390625,442.7010192871094,50.024070739746094,63.844932556152344,27.140995025634766,117.88490295410156,46.96030044555664,111.41839599609375,1.146681308746338,1247.20361328125,1928.325927734375,62.50833511352539,1649.6634521484375,64.3548812866211,178.27786254882812,3352.63525390625,73.56961822509766,77.6661605834961
2016-06-01,1052.3231201171875,577.3955688476562,16807.80078125,850.8975219726562,2038.5906982421875,449.3783874511719,376.3286437988281,69.39372253417969,8828.5966796875,734.9262084960938,22.414379119873047,48.92177200317383,90.25747680664062,35.97200012207031,4004.068359375,40.83185958862305,4139.89013671875,43.27018737792969,351.5908508300781,141.99000549316406,1859.0926513671875,10.930176734924316,37.116233825683594,1450.2957763671875,442.501953125,50.3459587097168,63.76836395263672,26.68120574951172,117.85513305664062,46.827388763427734,110.26363372802734,1.148890495300293,1259.176513671875,1854.3695068359375,62.21704864501953,1658.1239013671875,64.48119354248047,178.6431884765625,3386.204833984375,73.83056640625,76.19204711914062
2016-06-02,1021.454833984375,568.0009155273438,16556.724609375,838.1820068359375,1977.3004150390625,437.8734130859375,364.23809814453125,67.58846282958984,8589.328125,710.1229858398438,22.245922088623047,48.26703643798828,89.82382202148438,36.4119987487793,4030.492431640625,40.825984954833984,4115.5498046875,43.340423583984375,351.0936584472656,142.11000061035156,1846.62548828125,10.930176734924316,36.90845489501953,1447.2900390625,443.7950744628906,50.43792724609375,64.21083068847656,26.796152114868164,118.00397491455078,46.499542236328125,107.8551254272461,1.1569896936416626,1252.192138671875,1851.8875732421875,61.82295608520508,1653.1470947265625,64.1288070678711,179.18692016601562,3371.8173828125,74.5108642578125,77.550537109375
2016-06-03,1012.8712158203125,577.207763671875,16504.123046875,839.069091796875,1973.5474853515625,438.6787414550781,367.00164794921875,67.97842407226562,9180.6455078125,707.654296875,22.29145622253418,46.61709976196289,88.36805725097656,36.277000427246094,4027.501220703125,40.127349853515625,4178.63671875,42.29861068725586,356.51263427734375,141.13999938964844,1856.599365234375,10.836669921875,36.491397857666016,1461.8182373046875,442.4523010253906,49.541229248046875,63.92152786254883,26.208148956298828,117.54755401611328,45.88818359375,106.0074691772461,1.1407908201217651,1257.1807861328125,1881.1724853515625,61.30891036987305,1668.0765380859375,63.35752487182617,178.65162658691406,3409.115966796875,74.5015640258789,75.26709747314453
